GEOID,positive,total,zcta_cum_perc_pos,pop_size,housing_total,housing_rental,rent_pct,hhsize_average,hhsize_rented,hhsize_owned,race_total,race_hisp,race_nhBlack,hispanic_pct,nhblack_pct,age65_total,male_65over,female_65over,age65_over_pct,Med_house_income,foodstamp_pct,unemployed_pct,uninsured_pct,case_rate
10001,170,364,46.7,21102,11031,8196,74.2997008430786,1.72,1.7,1.77,11031,1538,670,13.942525609645545,6.073792040612819,21102,1066,1561,12.449056961425457,88526,9.669374949722467,3.514079590411915,5.730742378403537,805.6108425741636
10002,405,792,51.14,81410,32925,27862,84.62262718299165,2.42,2.48,2.12,32925,8128,2052,24.686408504176157,6.232346241457859,81410,5540,8309,17.01142365802727,35859,32.614788312462736,4.919750929902797,8.499619818746018,497.48188183269866
10003,230,543,42.36,56024,28559,20169,70.62222066598972,1.63,1.59,1.72,28559,1786,611,6.253720368360237,2.139430652333765,56024,2452,3167,10.029630158503497,112131,2.3579849946409435,4.026729365177577,5.1379779730231405,410.5383407111238
10004,20,45,44.44,3089,1692,1246,73.64066193853428,1.81,1.73,2.02,1692,89,44,5.260047281323877,2.6004728132387704,3089,59,41,3.237293622531564,157645,0,3.201970443349754,4.885057471264368,647.4587245063127
10005,32,103,31.07,7135,4251,3592,84.49776523171019,1.67,1.64,1.84,4251,293,140,6.892495883321572,3.293342742884027,7135,28,33,0.8549404344779257,173333,0,2.8770362585391487,2.601156069364162,448.4933426769446
10006,8,33,24.24,3011,1791,1497,83.58458961474037,1.68,1.69,1.64,1791,140,87,7.816862088218872,4.857621440536013,3011,16,8,0.7970773829292593,176250,0,0.5352960856473737,2.4088323854131817,265.6924609764198
10007,30,86,34.88,6988,2840,2013,70.88028169014085,2.1,1.93,2.52,2840,134,68,4.71830985915493,2.3943661971830985,6988,117,70,2.6760160274756726,246813,2.30684730867814,2.2793296089385477,0.6480446927374302,429.3073840870063
10009,298,662,45.02,61347,30182,27628,91.53800278311577,1.99,2,1.93,30182,6353,2070,21.048969584520574,6.858392419322776,61347,2905,4864,12.664025950739239,61548,16.492868675995695,2.992783359275506,7.454837035988869,485.7613249221641
10010,133,377,35.28,31834,16556,12323,74.43223000724812,1.68,1.67,1.71,16556,1205,677,7.278328098574535,4.089151969074656,31834,1605,2419,12.640572972293773,117923,4.911531421598536,3.307472437729685,4.267047774601878,417.79229754350695
10011,308,640,48.12,50984,30294,19879,65.62025483594111,1.61,1.55,1.73,30294,2785,969,9.193239585396448,3.1986531986531985,50984,2853,3464,12.390161619331556,128613,6.924608624004394,3.1985175636480823,4.646041465248684,604.1110936764475
